id,reparto,ruolo,sede,anno_assunzione,stipendio_lordo,giorni_assenza,part_time
1123,Amministrazione,impiegato,Roma,2023,29800,0,0
1124,Vendite,addetto,Milano,2017,25700,0,0
1125,Vendite,responsabile,Roma,2024,36100,6,0
1126,Vendite,senior,Roma,2013,33700,8,0
1127,Assistenza clienti,operatore,Milano,2021,25500,7,1
1128,Amministrazione,impiegato,Roma,2009,29800,7,0
1129,Vendite,addetto,Roma,2025,27200,0,0
1130,Vendite,addetto,Milano,2022,28900,2,0
1131,Vendite,addetto,Roma,2018,26500,7,0
1132,Assistenza clienti,operatore,Roma,2022,24800,7,0
1133,Logistica,autista,Milano,2010,32000,15,0
1134,Vendite,addetto,Milano,2021,27400,5,0
1135,Logistica,magazziniere,Milano,2012,29100,5,0
1136,Vendite,senior,Milano,2006,34300,5,0
1137,Vendite,responsabile,Roma,2017,41000,9,1
1138,Logistica,responsabile,Roma,2008,42200,17,1
1139,Vendite,addetto,Roma,2021,27600,2,0
1140,Vendite,addetto,Roma,2024,25200,2,0
1141,Logistica,magazziniere,Roma,2018,26100,10,0
1142,Vendite,addetto,Roma,2015,28600,0,0
1143,Assistenza clienti,operatore,Roma,2005,29500,15,0
1144,IT,sviluppatore,Roma,2017,36100,4,0
1145,Marketing,specialist,Roma,2010,35400,0,0
1146,Amministrazione,responsabile,Milano,2025,40100,7,0
1147,Vendite,addetto,Roma,2018,24600,12,0
1148,Vendite,addetto,Milano,2024,24800,2,0
1149,Vendite,addetto,Roma,2022,27900,6,0
1150,Amministrazione,contabile,Roma,2024,31400,5,0
1151,Vendite,senior,Roma,2011,33800,7,0
1152,Logistica,autista,Roma,2007,30000,15,0
1153,Logistica,responsabile,Roma,2015,38100,16,0
1154,Assistenza clienti,operatore,Milano,2020,24300,9,0
1155,Vendite,addetto,Roma,2016,31000,5,1
1156,Logistica,magazziniere,Milano,2021,26500,15,0
1157,Vendite,senior,Roma,2018,31300,15,0
1158,Assistenza clienti,operatore,Milano,2017,25400,8,0
1159,Logistica,magazziniere,Roma,2018,25600,8,1
1160,Assistenza clienti,operatore,Roma,2017,26100,3,0
1161,Logistica,magazziniere,Milano,2010,29900,7,0
1162,Logistica,autista,Roma,2014,30400,5,0
1163,Logistica,autista,Milano,2005,33100,10,0
1164,Vendite,senior,Roma,2017,31900,4,0
1165,Vendite,addetto,Milano,2012,30000,3,0
1166,Logistica,magazziniere,Roma,2017,26100,15,0
1167,IT,sviluppatore,Milano,2011,41800,9,1
1168,Logistica,magazziniere,Roma,2015,27000,11,0
1169,Vendite,senior,Roma,2009,32400,6,0
1170,Logistica,autista,Milano,2005,34600,4,0
1171,Vendite,addetto,Roma,2021,28800,5,0
1172,Vendite,addetto,Roma,2017,29000,13,0
1173,Assistenza clienti,operatore,Milano,2025,21900,13,1
1174,Logistica,magazziniere,Roma,2005,30500,9,0
1175,Logistica,magazziniere,Roma,2025,22700,14,0
1176,Vendite,addetto,Roma,2006,27200,2,0
1177,Marketing,specialist,Roma,2023,29900,8,0
1178,Logistica,autista,Milano,2008,35600,6,0
1179,Assistenza clienti,team leader,Roma,2021,26900,8,0
1180,Vendite,senior,Milano,2008,36900,7,0
